Store ID,Name_Store,Location_Address,,Phone,Website_Source
196,DollarTree,"13616 University Plaza, Tampa, FL 33613",,(813) 666 3220,dollartree.com
         F1******,PlayStation,Online (PlayStation Store),,877-971-7669,playstation.com/store
         F2******,Epic Games,Online (Epic Games Store),, (919) 854-0070,epicgames.com
       AlexB ,PlayStation,Online (Dapper),,877-971-7669,nbatopshot.com
561,Best Buy #561,"1725 N Dale Mabry Hwy, Tampa, FL 33607",,(813) 874-8814,bestbuy.com
12,USF Institute of Electrical and Electronics Engineers,"10342 Rosemount Drive, Tampa, FL 33624",,(813) 974-2011,PayPal
888,Reflections Apartments,"10342 Rosemount Drive, Tampa, FL 33624",,(813) 631-0522,newreflections.residentportal.com
1,Pérez Art Museum Miami,"1103 Biscayne Blvd, Miami, FL 33132",,(305) 375-3000,pamm.org
3,USF Parking & Transportation,"University of South Florida, Tampa, FL",,813-974-3090,usf.edu/parking
887,Reflections Apartments,"14517 Prism Circle, Tampa, FL 33613",,(813) 631-0522,newreflections.residentportal.com
318,Einstein Bros Bagels,"503 E Fowler Ave, Tampa, FL 33617",,(813) 989-0088,https://www.einsteinbros.com/?utm_
170,Chick-fil-A,"3019 Cove Bend Dr, Tampa, FL 33613",,(813) 866-7706,https://www.chick-fil-a.com/?utm_
64,Cookies - Tampa Fletcher,"1509 East Fletcher Avenue, Tampa, FL 33612",,,https://cookiesflorida.co/
541,Don Julio's - Bears,"2809 E Bears Ave, Tampa, FL 33613",,(813) 928-0980,https://donjuliosmexican.com/?utm_
317,Einstein Bros Bagels,"503 E Fowler Ave, Tampa, FL 33617",,(813) 989-0088,https://www.einsteinbros.com/?utm_
212,Little Caesars,"1515 E Fletcher Ave, Tampa, FL 33612",,(813) 971-3512,https://littlecaesars.com/en-us/
327,Lyft,"101 E Tyler St, Tampa, FL ? 14724 Oak Vine Dr, Lutz, FL",,,https://www.lyft.com/?utm_
4,IKEA Tampa,"10302 N Dale Mabry Hwy, Tampa, FL 33618",,,https://www.ikea.com/us/en/stores/tampa/?utm_
415,McDonald's,"11707 N 56th St, Tampa, FL 33617",,(813) 988-1823,https://www.mcdonalds.com/us/en-us.html?utm_
47,Skillets,"8845 Founders Square Dr, Ste 115, Naples, FL 34120",,(813) 985-4523,https://skilletsrestaurants.com/?utm_
230,Uber,"6833 Wesley Chapel, Wesley Chapel, FL ? 3020 Cove Bend Dr, Tampa, FL",,,https://www.uber.com/global/en/
413,3 Brothers of Saint Mary,"13742 N 42nd st, Tampa, FL, 33613",,(813)-374-5658,https://www.yelp.com/biz/3-brothers-halal-food-truck-tampa
190,Bulls Market,"13742 N 42nd St, Tampa, FL 33613",,(813)-972-3199,https://www.yelp.com/biz/bull-market-tampa
